"adcbbca64d2d78a77b378db487717e38","X83e200e6aa49b79396f052dd3db97e6b","c95c29828395a6f53f96e96619916532","cb3a451b5f9718c07b491a77b14ef21f","cd3909b22b87684aafd93fcb66630f52","X4c294f9a88e58b0e40a2b19f4658c209","db424461aa669374102fa17ac4539038","b9d614025bf292dfb0db9f43d7357e14","X6c2a9a5a94270ee454cfb2dea1d31449","e492ea34ac6862586016b7aef65e35b9","aba8c17e313c37c938998554292445ba","X854a42379977827cb58c0eb74385690e","f02f4c216369c6a2e4ee447ffe47fddd","X7e537c12b9af4d0e06d9c229f25d2176","X5203c525a0d0a6c831885ac86a569081","d57501b44a85f6263ef7c36c9256fb92","bc4e3995ef291067acb3295ec94e26f1","X2788faa17a6772b439ab79a71363f4bb","df5dc83b05bd8f335e08f17b5a4c56e9","a34ba93b4dc7cc8362f362f9d520321b","X5aa6addb5feb5f7301d7f21bab3e35e8","X6377e612d1fdfdadf18255fc486ce608","X2cd30e9eda91687ba73dcae76f4f1880","f4d6321c5a128364c3ec9543e21e7cde","X4c7a497eca1fa3081f152adbbce602fb","X674cc9dfd5b8ed175ac63bc9348f2759","X4b594c8bf63bbb3f04615c7b142e1e14","X89966a5669a7741fbe4f099c918f0cf1","X2666fa031db96860468588bef43bbb61","X767ae4be31c7c3b75e743a94f0214ae0","e8165c825d679874a9c71c16408fbbfd","X5a8f0b46a094391e9436f875639034e9","f4ddba285154bdd47f4dc510c2038305","X28140dabde227041d333d23976ce302f","fd76d28f77b2e33857a2df3871c3cc53","X01353923e2e6219198b8d092099e0d9f","deaf8029eba24ec9cfc9f77e9689423e","X6c14479fad19a60d42ec33c478c66afb","bb73a54327f61f691fd1eeb5f230e02c","c744d1d19f0607a409fed8eeebc5cff1","X5f8bc9840120e2fcddfb562429e6f0eb","X9104c4b42757f253f35768d341c2a32b","X679658942f667409a7b9907845816380","dacf22eb1a2065568c1175d1a76c9dc7","X67f3fcab907a9ed2927806173348b4af","X879815b1626853f4af4a4f0e85703fd2","X4f359f019c5e22e6bd5bb03534b84411","be5f7561425c2fdf15e1347047e3a7ba","b81a5b1c47a7eb2b73b4ed9fa1d9b464","X0adb29e1ef7ab1df5fc551a2511c05ba","X40178a7b2400cd0be400a0e1069762fa","X1bc8c1807a800c2c8220ca1a13e4fdb9","f6bf584c4081d96e0ad688a16a806432","a6499c331ca652a5c070f51ef025b901","f93b764d7ef2fc78c19f2d419cc3c5e5","f3a6c6bd550ccaf6c3b68f0c996e1225","X94d50b1f2833352b7cb2e07533944c20","e06356a1143ac7bc41c0bc6aea20d3ae","X82d659604fd62ef71fa6449465d6d8d4","dbc7407c0c194353c292d8aa95922b3a","X3129410b374e76459623a9edb0f6413d","ba197f79f441eb350a6366b5742854e1","X7e501bf21cd1a7090a5282791c520d8b","X6090c45400591b19f181add95bb578f2","X2b423d4a16ef1539110bd1a85db1263d","X316678fa9cd140393f2c97e86e22438f","X6c9635ea49acec132fb91c161c73e041","b2b3c0f0b487edaf28d7a348b354cdcb","X4c37137a09c7b0c510bc7fd05f4d2eda","X05469e3983d48719f2809a67d7f565df","X5b599be724e69b799572618d657d636c","X5ac573def95575947f986f0da3a97a6e","bcae8f7d2c42acfe3559c665f68f6320","X727b6b6cf7c088343cdffe253b5db3df","X31fb9c4004ca6f4d986d5d91745dbca2","X057b594a0df41c1752943ca6e992c826","X9fae180100965f03f0705863528e069d","X2b593463d8985ac4982a9aa29d2ca881","e6027fe97fc1dd3a662ba33605bd7eae","febc72c8f1a103badab63be01c614c31","e5196607556bbe9599a2991e537380c7","acbb69f2765ac3cdfee0c072acb0acfc","X61dcbb58a35735e631793862afa39fe6","X429fd8943b73988d3fde3ca9bc54d07c","X81b50cbc69b355d6a2207d370e9634c5","ffc36e27c82042664a16bcd4d380b286","X353dc9e514176baefc24b952e1309bba","X4a7f867d55034fd3b2b4b28e0b1dda36","X7b361820964e8c6ced5aec81f54bcfea","f8fef0cf8011b5b04640cc5c3ab79a3f","fb7f0fc29144d404cf96d40f1350694f","SampleID","community.number","community.name","chem.code","Amoxicillin","Chlorothalonil","Diflufenican","Glyphosate","Imidacloprid","Metaldehyde","Oxytetracycline","Tebuconazole","complexity","well","plate"
519,453,85,139,1384,0,1444,37,0,0,404,0,0,0,11,0,0,938,0,0,0,261,181,29,0,167,0,0,0,107,0,0,0,24,0,5,0,0,48,58,0,0,0,0,0,104,0,92,0,0,0,16,30,0,0,0,33,0,0,0,0,0,0,0,49,8,17,0,0,0,15,0,15,16,0,40,19,24,19,0,0,13,8,8,26,3,16,6,1,0,0,"c01w8E3",1,"R_ID_7.16_1_R10(1)_TSS","CDGO",0,1,1,1,0,0,1,0,4,"E3",8
342,22,14,537,1013,0,4557,0,0,0,462,0,0,0,0,0,0,1026,0,0,0,283,0,19,0,176,0,0,0,26,0,0,0,0,0,2,0,0,52,1,0,0,0,0,0,8,0,0,0,0,0,531,0,0,0,0,16,0,5,0,0,0,0,0,0,0,0,65,33,0,0,0,277,16,0,0,17,21,13,20,0,0,0,7,0,7,0,0,0,0,0,"c04w000",4,"R_ID_7.16_4_R10(1)_TSS","Frozen Starting Community",NA,NA,NA,NA,NA,NA,NA,NA,NA,"00",0
130,200,63,34,3733,0,426,0,0,0,300,0,0,0,52,0,0,288,0,0,0,126,874,150,0,95,0,0,0,1513,0,0,0,100,0,0,0,0,56,458,0,0,0,0,0,95,0,83,0,0,0,0,117,0,0,0,14,0,8,0,0,0,0,0,27,220,91,0,0,0,278,0,0,93,0,23,19,11,6,0,0,52,19,29,3,39,13,3,0,0,0,"c04w10D4",4,"R_ID_7.16_4_R10(1)_TSS","ACDGIMOT",1,1,1,1,1,1,1,1,8,"D4",10
506,133,56,183,2037,0,1827,0,0,0,722,0,0,0,20,0,0,994,0,0,0,458,663,32,0,355,0,0,0,338,0,0,0,0,0,0,0,0,220,235,0,0,0,0,0,119,0,123,0,0,0,15,48,0,0,0,85,0,0,0,0,0,0,0,220,46,93,0,0,0,16,0,24,23,0,39,35,33,25,9,0,12,23,7,11,2,27,28,1,0,0,"c04w10E9",4,"R_ID_7.16_4_R10(1)_TSS","Control",0,0,0,0,0,0,0,0,0,"E9",10
342,163,72,205,2295,0,1892,0,0,0,1112,0,0,0,0,0,0,932,0,0,0,710,163,28,0,468,24,0,0,189,0,0,0,13,0,0,0,0,88,229,0,0,0,0,0,134,0,168,0,0,0,34,50,0,0,0,46,0,6,0,0,0,0,0,123,27,39,5,36,0,19,0,28,20,0,58,33,52,16,14,0,6,25,13,11,3,0,18,0,0,0,"c04w11B2",4,"R_ID_7.16_4_R10(1)_TSS","A",1,0,0,0,0,0,0,0,1,"B2",11
518,197,58,185,2670,0,1766,0,0,0,753,0,0,0,0,0,0,1189,0,0,0,507,286,33,0,329,0,0,0,153,0,0,0,0,0,2,0,0,162,125,0,0,0,0,0,133,0,159,0,0,0,12,50,0,0,0,100,0,4,0,0,0,0,0,108,20,35,0,19,0,14,0,45,19,0,61,33,34,33,0,0,17,7,12,0,6,12,29,0,0,0,"c04w11C3",4,"R_ID_7.16_4_R10(1)_TSS","T",0,0,0,0,0,0,0,1,1,"C3",11
92,380,203,28,4790,0,220,0,0,0,226,0,0,0,106,0,0,153,0,0,0,60,931,185,0,35,0,0,0,763,0,0,0,107,0,11,0,0,209,203,0,0,0,0,0,205,0,67,0,0,0,0,142,0,0,0,16,0,15,0,0,0,0,0,5,113,33,0,0,0,109,0,0,83,0,23,24,18,7,0,0,51,35,34,0,86,0,0,0,0,0,"c04w11C5",4,"R_ID_7.16_4_R10(1)_TSS","CO",0,1,0,0,0,0,1,0,2,"C5",11
420,202,71,148,3329,0,1401,0,0,0,513,0,0,0,52,0,0,902,0,0,0,276,649,22,0,215,18,0,0,270,0,0,0,16,0,5,0,0,241,101,0,0,0,0,0,174,0,106,0,0,0,6,61,0,0,0,115,0,9,0,0,0,0,0,36,43,29,0,0,0,14,0,26,13,0,87,35,23,76,6,0,15,7,21,0,0,15,6,0,0,0,"c04w11E6",4,"R_ID_7.16_4_R10(1)_TSS","GM",0,0,0,1,0,1,0,0,2,"E6",11
389,174,57,203,2721,2,1952,0,0,0,714,0,0,0,30,0,0,1208,0,0,0,446,361,30,0,309,21,0,0,147,0,0,0,22,0,2,0,0,145,84,0,0,0,0,0,169,0,120,0,0,0,14,73,0,0,0,64,0,2,0,0,0,0,0,50,18,21,11,26,0,8,0,24,12,0,52,39,29,36,0,0,8,26,15,10,3,16,11,0,0,0,"c04w11F5",4,"R_ID_7.16_4_R10(1)_TSS","DI",0,0,1,0,1,0,0,0,2,"F5",11
182,355,158,56,4649,0,588,0,0,0,309,0,0,0,91,0,0,366,0,0,0,142,588,131,0,104,0,0,0,898,0,0,0,81,0,8,0,0,105,313,0,0,0,0,0,63,0,57,0,0,0,13,96,0,0,0,22,0,0,0,0,0,0,0,21,130,44,0,0,0,31,0,0,41,0,22,23,9,17,0,0,24,18,21,0,75,4,5,0,0,0,"c04w11G7",4,"R_ID_7.16_4_R10(1)_TSS","OT",0,0,0,0,0,0,1,1,2,"G7",11
338,176,56,208,2648,0,1763,0,0,0,920,0,0,0,0,0,0,981,0,0,0,557,386,21,0,400,0,0,0,235,0,0,0,15,0,6,0,0,169,85,0,0,0,0,0,163,0,109,0,0,0,28,67,0,0,0,48,0,7,0,0,0,0,0,110,35,26,0,0,0,31,0,33,19,0,27,28,39,12,0,0,11,18,12,10,2,22,10,0,0,0,"c04w12F7",4,"R_ID_7.16_4_R10(1)_TSS","ACDM",1,1,1,0,0,1,0,0,4,"F7",12
79,175,54,48,4141,0,329,0,0,0,183,0,0,0,0,0,0,199,0,0,0,52,1255,98,0,50,0,0,0,1499,0,0,0,90,0,4,0,0,11,384,0,0,0,0,0,25,0,75,0,0,0,0,175,0,0,0,0,0,0,0,0,0,0,0,12,242,91,0,0,0,248,0,6,88,0,12,17,23,7,0,0,61,19,23,5,34,12,6,0,0,0,"c04w13D5",4,"R_ID_7.16_4_R10(1)_TSS","CGMO",0,1,0,1,0,1,1,0,4,"D5",13
274,194,59,206,2360,0,1873,0,0,0,1075,0,0,0,29,0,0,1021,0,0,0,667,414,17,0,460,0,0,0,208,0,0,0,18,0,7,0,0,148,115,0,0,0,0,0,137,0,82,0,0,0,25,70,0,0,0,47,0,5,0,0,0,0,0,60,29,50,12,33,0,13,0,31,14,0,28,31,31,12,6,0,17,21,19,0,4,10,12,0,0,0,"c04w15C11",4,"R_ID_7.16_4_R10(1)_TSS","Control",0,0,0,0,0,0,0,0,0,"C11",15
93,476,220,33,4133,0,338,0,0,0,530,0,0,0,163,0,0,166,0,0,0,230,613,175,0,117,16,0,0,720,0,0,0,105,0,12,0,0,148,350,0,0,0,0,0,193,0,133,0,0,0,0,119,0,0,0,13,0,11,0,0,0,0,0,7,118,118,0,14,0,101,0,0,50,0,23,38,35,0,5,0,34,36,52,5,48,12,0,4,0,0,"c04w16B3",4,"R_ID_7.16_4_R10(1)_TSS","O",0,0,0,0,0,0,1,0,1,"B3",16
392,200,82,186,2405,0,1741,0,0,0,873,0,0,0,31,0,0,1172,0,0,0,598,290,29,0,410,24,0,0,225,0,0,0,9,0,1,0,0,143,128,0,0,0,0,0,244,0,113,0,0,0,17,50,0,0,0,44,0,6,0,0,0,0,0,113,33,60,0,0,0,18,0,36,14,0,52,27,27,9,0,7,3,30,15,7,0,0,8,0,1,0,"c04w16B5",4,"R_ID_7.16_4_R10(1)_TSS","CM",0,1,0,0,0,1,0,0,2,"B5",16
276,126,72,176,1920,0,2044,0,0,0,1029,0,0,0,0,0,0,1193,0,0,0,701,372,29,0,474,35,0,0,142,0,0,0,16,0,4,0,0,119,151,0,0,0,0,0,138,0,150,0,0,0,20,71,0,0,0,50,0,7,0,0,0,0,0,111,25,24,21,28,0,16,0,55,32,0,59,39,31,25,10,0,8,26,14,14,0,11,17,1,1,0,"c04w16C2",4,"R_ID_7.16_4_R10(1)_TSS","C",0,1,0,0,0,0,0,0,1,"C2",16
125,327,128,36,4087,0,300,0,0,0,358,0,0,0,79,0,0,154,0,0,0,124,1151,185,0,68,0,0,0,712,0,0,0,113,0,13,0,0,146,224,0,0,0,0,0,248,0,109,0,0,0,0,203,0,0,0,13,0,0,0,0,0,0,0,5,116,71,0,0,0,200,0,0,124,0,23,33,40,4,2,0,60,20,44,7,45,21,3,4,0,0,"c04w16C5",4,"R_ID_7.16_4_R10(1)_TSS","CO",0,1,0,0,0,0,1,0,2,"C5",16
487,190,64,200,2211,0,1903,0,0,0,880,0,0,0,22,0,0,955,0,0,0,630,386,41,0,403,23,0,0,133,0,0,0,14,0,0,0,0,141,122,0,0,0,0,0,264,0,108,0,0,0,14,79,0,0,0,44,0,0,0,0,0,0,0,104,17,53,0,26,0,34,0,28,15,0,29,45,38,9,5,0,17,35,18,12,0,21,16,2,0,0,"c04w16D4",4,"R_ID_7.16_4_R10(1)_TSS","AT",1,0,0,0,0,0,0,1,2,"D4",16
350,230,96,172,2514,0,1710,0,0,0,853,0,0,0,23,0,0,764,0,0,0,563,762,32,0,409,0,0,0,221,0,0,0,21,0,0,0,0,186,123,0,0,0,0,0,196,0,120,0,0,0,16,77,0,0,0,79,0,0,0,0,0,0,0,73,33,52,7,0,0,17,0,24,18,0,24,37,36,13,0,0,8,20,11,0,0,15,11,0,0,0,"c04w16E3",4,"R_ID_7.16_4_R10(1)_TSS","AD",1,0,1,0,0,0,0,0,2,"E3",16
410,217,71,190,2558,0,1970,0,0,0,681,0,0,0,29,0,0,1087,0,0,0,395,423,26,0,312,0,0,0,232,0,0,0,20,0,4,0,0,180,123,0,0,0,0,0,212,0,106,0,0,0,8,59,0,0,0,56,0,7,0,0,0,0,0,54,41,70,0,0,0,29,0,23,15,0,37,40,30,21,0,0,26,12,15,10,0,0,8,2,0,0,"c04w16E6",4,"R_ID_7.16_4_R10(1)_TSS","GM",0,0,0,1,0,1,0,0,2,"E6",16
234,208,78,169,2605,0,1736,0,0,0,916,0,0,0,23,0,0,1137,0,0,0,645,302,35,0,427,31,0,0,217,0,0,0,16,0,3,0,0,133,127,0,0,0,0,0,111,0,93,0,0,0,16,72,0,0,0,68,0,6,0,0,0,0,0,63,33,64,0,35,0,16,0,26,8,0,45,29,24,26,0,11,8,18,18,5,3,0,9,0,0,0,"c04w16F2",4,"R_ID_7.16_4_R10(1)_TSS","I",0,0,0,0,1,0,0,0,1,"F2",16
189,218,73,147,2855,0,1456,0,0,0,852,0,0,0,32,0,0,960,0,0,0,618,467,21,0,488,0,0,0,273,0,0,0,20,0,5,0,0,212,205,0,0,0,0,0,144,0,60,0,0,0,11,49,0,0,0,91,0,3,0,0,0,0,0,62,34,93,0,45,0,16,0,34,0,0,39,25,29,28,0,4,3,13,13,0,0,10,12,0,0,0,"c04w16G2",4,"R_ID_7.16_4_R10(1)_TSS","M",0,0,0,0,0,1,0,0,1,"G2",16
41,444,174,20,5747,0,118,0,0,0,198,0,0,0,130,0,0,61,0,0,0,55,842,125,0,27,0,0,0,512,0,0,0,70,0,3,0,0,99,368,0,0,0,0,0,42,0,48,0,0,0,0,235,0,0,0,0,0,0,0,0,0,0,0,4,75,129,0,0,0,47,0,0,78,0,7,10,16,9,0,0,20,14,28,1,44,0,0,1,0,0,"c04w16G7",4,"R_ID_7.16_4_R10(1)_TSS","OT",0,0,0,0,0,0,1,1,2,"G7",16
199,249,90,197,3036,0,1752,0,0,0,894,0,0,0,33,0,0,791,0,0,0,577,411,40,0,416,0,0,0,183,0,0,0,23,0,0,0,0,193,94,0,0,0,0,0,119,0,47,0,0,0,21,78,0,0,0,84,0,0,0,0,0,0,0,51,25,31,12,33,0,9,0,24,8,0,31,43,36,10,7,0,20,15,12,8,2,12,17,1,1,0,"c04w17G10",4,"R_ID_7.16_4_R10(1)_TSS","ADIT",1,0,1,0,1,0,0,1,4,"G10",17
53,351,139,14,5234,0,111,0,0,0,166,0,0,0,90,0,0,64,0,0,0,39,945,156,0,35,19,0,0,720,0,0,0,106,0,13,0,0,32,506,0,0,0,0,0,68,0,55,0,0,0,0,293,0,0,0,0,0,0,0,0,0,0,0,2,125,156,0,0,0,91,0,0,92,0,9,11,20,3,0,0,26,32,25,6,31,21,0,4,0,0,"c04w18E8",4,"R_ID_7.16_4_R10(1)_TSS","GIOT",0,0,0,1,1,0,1,1,4,"E8",18
142,434,211,37,4617,0,455,0,0,0,329,0,0,0,105,0,0,230,0,0,0,157,450,214,0,78,0,0,0,669,0,0,0,116,0,13,0,0,148,350,0,0,0,0,0,127,0,96,0,0,0,9,85,0,0,0,0,0,14,0,0,0,0,0,0,87,81,0,0,0,74,0,10,92,0,38,17,17,5,0,0,47,25,33,6,117,23,2,6,0,0,"c04w1B3",4,"R_ID_7.16_4_R10(1)_TSS","O",0,0,0,0,0,0,1,0,1,"B3",1
352,156,56,182,2269,0,2073,0,0,0,763,0,0,0,27,0,0,1296,0,0,0,479,504,33,0,328,0,0,0,247,0,0,0,0,0,4,0,0,125,111,0,0,0,0,0,124,0,179,0,0,0,41,62,0,0,0,102,0,0,0,0,0,0,0,85,33,0,0,0,0,10,0,49,30,0,39,30,27,12,4,0,10,18,9,0,4,14,12,0,0,0,"c04w1C2",4,"R_ID_7.16_4_R10(1)_TSS","C",0,1,0,0,0,0,0,0,1,"C2",1
487,135,63,221,1991,0,2380,0,0,0,648,0,0,0,21,0,0,1503,0,0,0,430,408,20,0,320,24,0,0,116,0,0,0,0,0,7,0,0,98,93,0,0,0,0,0,159,0,160,0,0,0,26,70,0,0,0,57,0,0,0,0,0,0,0,86,24,27,0,23,0,16,0,28,24,0,52,19,31,11,4,0,23,13,21,19,4,28,14,0,1,0,"c04w1C3",4,"R_ID_7.16_4_R10(1)_TSS","T",0,0,0,0,0,0,0,1,1,"C3",1
342,155,74,198,2477,0,2067,0,0,0,689,0,0,0,25,0,0,1229,0,0,0,411,569,23,0,293,30,0,0,219,0,0,0,12,0,5,0,0,109,122,0,0,0,0,0,118,0,144,0,0,0,23,65,0,0,0,66,0,0,0,0,0,0,0,80,44,30,0,25,0,7,0,32,21,0,48,26,17,21,4,0,7,20,13,11,1,12,10,0,1,0,"c04w1D2",4,"R_ID_7.16_4_R10(1)_TSS","D",0,0,1,0,0,0,0,0,1,"D2",1
